"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,6144,"; _Z11gemm_kernelPK14__hip_bfloat16S1_PS_iii",0,0,0,0,"gemm_kernel(__hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, int, int, int)"
5,6144,"s_load_dwordx4 s[4:7], s[0:1], 0x18",8,52,20,7556,""
5,6152,"s_load_dwordx2 s[10:11], s[0:1], 0x0",8,32,0,0,""
5,6160,"s_load_dwordx2 s[8:9], s[0:1], 0x10",8,36,0,0,""
5,6168,"s_waitcnt lgkmcnt(0)",8,1996,1996,0,""
5,6172,"s_ashr_i32 s3, s4, 31",8,84,52,0,""
5,6176,"s_ashr_i32 s7, s5, 31",8,32,0,0,""
5,6180,"s_lshr_b32 s3, s3, 24",8,36,4,0,""
5,6184,"s_lshr_b32 s7, s7, 24",8,32,0,0,""
5,6188,"s_add_i32 s3, s4, s3",8,32,0,0,""
5,6192,"s_add_i32 s7, s5, s7",8,108,76,0,""
5,6196,"s_ashr_i32 s3, s3, 8",8,44,12,0,""
5,6200,"s_ashr_i32 s7, s7, 8",8,200,168,0,""
5,6204,"s_mul_i32 s7, s7, s3",8,32,0,0,""
5,6208,"s_ashr_i32 s12, s7, 31",8,44,12,0,""
5,6212,"s_lshr_b32 s12, s12, 25",8,36,4,0,""
5,6216,"s_add_i32 s7, s7, s12",8,32,0,0,""
5,6220,"s_and_b32 s7, s7, 0xffffff80",8,260,228,0,""
5,6228,"s_cmp_gt_i32 s2, s7",8,68,36,0,""
5,6232,"s_cbranch_scc1 18",8,32,0,32,""
5,6236,"s_ashr_i32 s7, s2, 31",8,32,0,0,""
5,6240,"s_lshr_b32 s12, s7, 29",8,32,0,100,""
5,6244,"s_add_i32 s12, s2, s12",8,32,0,0,""
5,6248,"s_ashr_i32 s13, s12, 3",8,112,80,0,""
5,6252,"s_and_b32 s12, s12, 0xffffff8",8,44,12,0,""
5,6260,"s_lshr_b32 s7, s7, 25",8,32,0,0,""
5,6264,"s_sub_i32 s12, s2, s12",8,32,0,0,""
5,6268,"s_add_i32 s2, s2, s7",8,32,0,0,""
5,6272,"s_lshr_b32 s7, s13, 28",8,44,12,0,""
5,6276,"s_add_i32 s7, s13, s7",8,32,0,0,""
5,6280,"s_and_b32 s7, s7, -16",8,116,84,0,""
5,6284,"s_and_b32 s2, s2, 0xffffff80",8,204,172,0,""
5,6292,"s_lshl_b32 s12, s12, 4",8,56,24,0,""
5,6296,"s_sub_i32 s7, s13, s7",8,32,0,0,""
5,6300,"s_add_i32 s2, s2, s12",8,32,0,0,""
5,6304,"s_add_i32 s2, s2, s7",8,44,12,0,""
5,6308,"s_lshl_b32 s7, s3, 2",8,136,104,0,""
5,6312,"s_ashr_i32 s12, s3, 31",8,36,4,0,""
5,6316,"s_add_i32 s13, s7, s12",8,40,8,0,""
5,6320,"s_xor_b32 s13, s13, s12",8,40,8,0,""
5,6324,"v_cvt_f32_u32_e32 v1, s13",8,32,0,0,""
5,6328,"s_ashr_i32 s14, s2, 31",8,32,0,0,""
5,6332,"s_xor_b32 s12, s14, s12",8,32,0,0,""
5,6336,"s_sub_i32 s14, 0, s13",8,112,80,0,""
5,6340,"v_rcp_iflag_f32_e32 v1, v1",8,136,8,0,""
5,6344,"s_abs_i32 s15, s2",8,160,128,0,""
5,6348,"v_and_b32_e32 v2, 3, v0",8,32,0,0,""
5,6352,"v_mov_b32_e32 v5, 0",8,32,0,0,""
5,6356,"v_mul_f32_e32 v1, 0x4f7ffffe, v1",8,32,0,0,""
5,6364,"v_cvt_u32_f32_e32 v1, v1",8,36,4,0,""
5,6368,"v_lshlrev_b32_e32 v4, 4, v2",8,32,0,0,""
5,6372,"v_lshl_add_u64 v[6:7], s[10:11], 0, v[4:5]",8,32,0,0,""
5,6380,"v_lshrrev_b32_e32 v5, 2, v0",8,32,0,0,""
5,6384,"v_readfirstlane_b32 s16, v1",8,52,20,0,""
5,6388,"s_mul_i32 s14, s14, s16",8,36,0,128,""
5,6392,"s_mul_hi_u32 s14, s16, s14",8,40,4,0,""
5,6396,"s_add_i32 s16, s16, s14",8,32,0,0,""
5,6400,"s_mul_hi_u32 s14, s15, s16",8,32,0,0,""
5,6404,"s_mul_i32 s16, s14, s13",8,32,0,0,""
5,6408,"s_sub_i32 s15, s15, s16",8,40,8,0,""
5,6412,"s_add_i32 s17, s14, 1",8,44,12,0,""
5,6416,"s_sub_i32 s16, s15, s13",8,36,4,0,""
5,6420,"s_cmp_ge_u32 s15, s13",8,32,0,0,""
5,6424,"s_cselect_b32 s14, s17, s14",8,32,0,0,""
5,6428,"s_cselect_b32 s15, s16, s15",8,32,0,0,""
5,6432,"s_add_i32 s16, s14, 1",8,32,0,0,""
5,6436,"s_cmp_ge_u32 s15, s13",8,32,0,0,""
5,6440,"s_cselect_b32 s13, s16, s14",8,32,0,0,""
5,6444,"s_xor_b32 s13, s13, s12",8,32,0,0,""
5,6448,"s_sub_i32 s14, s13, s12",8,32,0,0,""
5,6452,"s_lshl_b32 s16, s14, 2",8,32,0,0,""
5,6456,"s_sub_i32 s3, s3, s16",8,32,0,0,""
5,6460,"s_min_i32 s17, s3, 4",8,32,0,0,""
5,6464,"s_abs_i32 s3, s17",8,32,0,0,""
5,6468,"v_cvt_f32_u32_e32 v1, s3",8,32,0,0,""
5,6472,"s_mul_i32 s14, s14, s7",8,32,0,0,""
5,6476,"s_load_dwordx2 s[12:13], s[0:1], 0x8",8,32,0,0,""
5,6484,"s_sub_i32 s0, s2, s14",8,32,0,0,""
5,6488,"v_rcp_iflag_f32_e32 v1, v1",8,128,0,0,""
5,6492,"s_xor_b32 s2, s0, s17",8,32,0,0,""
5,6496,"s_ashr_i32 s15, s2, 31",8,32,0,0,""
5,6500,"s_sub_i32 s2, 0, s3",8,32,0,0,""
5,6504,"v_mul_f32_e32 v1, 0x4f7ffffe, v1",8,32,0,0,""
5,6512,"v_cvt_u32_f32_e32 v1, v1",8,32,0,0,""
5,6516,"s_abs_i32 s1, s0",8,32,0,0,""
5,6520,"v_lshlrev_b32_e32 v10, 4, v0",8,32,0,0,""
5,6524,"v_readfirstlane_b32 s7, v1",8,32,0,0,""
5,6528,"s_mul_i32 s2, s2, s7",8,32,0,128,""
5,6532,"s_mul_hi_u32 s2, s7, s2",8,32,0,0,""
5,6536,"s_add_i32 s7, s7, s2",8,32,0,0,""
5,6540,"s_mul_hi_u32 s2, s1, s7",8,32,0,0,""
5,6544,"s_mul_i32 s7, s2, s3",8,32,0,0,""
5,6548,"s_sub_i32 s1, s1, s7",8,32,0,0,""
5,6552,"s_add_i32 s14, s2, 1",8,32,0,0,""
5,6556,"s_sub_i32 s7, s1, s3",8,32,0,0,""
5,6560,"s_cmp_ge_u32 s1, s3",8,32,0,0,""
5,6564,"s_cselect_b32 s2, s14, s2",8,32,0,0,""
5,6568,"s_cselect_b32 s1, s7, s1",8,32,0,0,""
5,6572,"s_add_i32 s7, s2, 1",8,32,0,0,""
5,6576,"s_cmp_ge_u32 s1, s3",8,32,0,0,""
5,6580,"s_cselect_b32 s1, s7, s2",8,32,0,0,""
5,6584,"s_xor_b32 s3, s1, s15",8,32,0,0,""
5,6588,"s_sub_i32 s14, s3, s15",8,32,0,0,""
5,6592,"s_mul_i32 s1, s14, s17",8,32,0,0,""
5,6596,"s_sub_i32 s0, s0, s1",8,32,0,0,""
5,6600,"s_add_i32 s0, s0, s16",8,32,0,0,""
5,6604,"s_lshl_b32 s7, s0, 8",8,32,0,0,""
5,6608,"v_or_b32_e32 v3, s7, v5",8,32,0,0,""
5,6612,"v_or_b32_e32 v1, 0xfffffe00, v0",8,32,0,0,""
5,6620,"v_mul_lo_u32 v4, s6, v3",8,32,0,0,""
5,6628,"s_lshl_b32 s2, s6, 7",8,32,0,0,""
5,6632,"s_mov_b64 s[0:1], 0",8,32,0,0,""
5,6636,"v_mov_b32_e32 v3, v10",8,40,8,0,""
5,6640,"v_mov_b32_e32 v8, v4",8,32,0,0,""
5,6644,"v_mov_b32_e32 v11, v1",8,32,0,0,""
5,6648,"v_ashrrev_i32_e32 v9, 31, v8",16,64,0,128,""
5,6652,"v_lshl_add_u64 v[12:13], v[8:9], 1, v[6:7]",16,64,0,96,""
5,6660,"global_load_dwordx4 v[12:15], v[12:13], off",16,104,40,128,""
5,6668,"v_add_co_u32_e32 v11, vcc, 0x200, v11",16,80,0,0,""
5,6676,"s_xor_b64 s[16:17], vcc, -1",16,64,0,240,""
5,6680,"s_and_b64 s[16:17], exec, s[16:17]",16,64,0,0,""
5,6684,"v_add_u32_e32 v8, s2, v8",16,64,0,0,""
5,6688,"s_or_b64 s[0:1], s[16:17], s[0:1]",16,80,0,0,""
5,6692,"s_waitcnt vmcnt(0)",16,17060,17060,0,""
5,6696,"ds_write_b128 v3, v[12:15]",16,320,8,0,""
5,6704,"v_add_u32_e32 v3, 0x2000, v3",16,64,0,8,""
5,6712,"s_andn2_b64 exec, exec, s[0:1]",16,64,0,0,""
5,6716,"s_cbranch_execnz 65518",16,64,0,64,""
5,6720,"s_or_b64 exec, exec, s[0:1]",8,32,0,128,""
5,6724,"v_lshlrev_b32_e32 v2, 4, v2",8,32,0,0,""
5,6728,"v_mov_b32_e32 v3, 0",8,32,0,0,""
5,6732,"s_lshl_b32 s3, s3, 8",8,32,0,0,""
5,6736,"s_waitcnt lgkmcnt(0)",8,40,40,0,""
5,6740,"v_lshl_add_u64 v[8:9], s[12:13], 0, v[2:3]",8,32,0,0,""
5,6748,"v_or_b32_e32 v3, s3, v5",8,32,0,0,""
5,6752,"s_lshl_b32 s19, s15, 8",8,32,0,0,""
5,6756,"v_subrev_u32_e32 v3, s19, v3",8,32,0,0,""
5,6760,"v_mul_lo_u32 v6, s6, v3",8,32,0,0,""
5,6768,"v_or_b32_e32 v3, 0x8000, v10",8,32,0,0,""
5,6776,"s_mov_b64 s[0:1], 0",8,32,0,0,""
5,6780,"v_mov_b32_e32 v10, v6",8,32,0,0,""
5,6784,"v_ashrrev_i32_e32 v11, 31, v10",16,64,0,128,""
5,6788,"v_lshl_add_u64 v[12:13], v[10:11], 1, v[8:9]",16,64,0,0,""
5,6796,"global_load_dwordx4 v[12:15], v[12:13], off",16,64,0,128,""
5,6804,"v_add_co_u32_e32 v1, vcc, 0x200, v1",16,80,0,0,""
5,6812,"s_xor_b64 s[16:17], vcc, -1",16,64,0,240,""
5,6816,"s_and_b64 s[16:17], exec, s[16:17]",16,64,0,0,""
5,6820,"v_add_u32_e32 v10, s2, v10",16,64,0,0,""
5,6824,"s_or_b64 s[0:1], s[16:17], s[0:1]",16,80,0,0,""
5,6828,"s_waitcnt vmcnt(0)",16,12928,12928,0,""
5,6832,"ds_write_b128 v3, v[12:15]",16,320,8,0,""
5,6840,"v_add_u32_e32 v3, 0x2000, v3",16,64,0,8,""
5,6848,"s_andn2_b64 exec, exec, s[0:1]",16,64,0,0,""
5,6852,"s_cbranch_execnz 65518",16,64,0,64,""
5,6856,"s_or_b64 exec, exec, s[0:1]",8,32,0,0,""
5,6860,"v_lshrrev_b32_e32 v3, 3, v0",8,32,0,0,""
5,6864,"v_and_b32_e32 v138, 4, v3",8,32,0,0,""
5,6868,"v_lshrrev_b32_e32 v3, 1, v0",8,32,0,0,""
5,6872,"v_and_b32_e32 v1, 31, v0",8,32,0,0,""
5,6876,"v_and_b32_e32 v139, 0x80, v3",8,32,0,0,""
5,6884,"v_or_b32_e32 v3, v139, v1",8,32,0,0,""
5,6888,"v_lshl_or_b32 v141, v3, 5, v138",8,32,0,0,""
5,6896,"v_lshlrev_b32_e32 v3, 5, v0",8,32,0,0,""
5,6900,"s_movk_i32 s0, 0x1be0",8,32,0,0,""
5,6904,"s_mov_b32 s15, 1",8,32,0,0,""
5,6908,"v_and_or_b32 v140, v3, s0, v138",8,32,0,0,""
5,6916,"s_cmp_lt_i32 s6, 64",8,32,0,0,""
5,6920,"s_waitcnt lgkmcnt(0)",8,32,32,0,""
5,6924,"s_barrier",8,2748,2748,0,""
5,6928,"s_cbranch_scc1 367",8,48,16,0,""
5,6932,"v_mov_b32_e32 v3, 0x8000",8,32,0,0,""
5,6940,"v_lshl_or_b32 v143, v140, 1, v3",8,84,52,116,""
5,6948,"v_or_b32_e32 v3, 0x200, v0",8,32,0,0,""
5,6956,"v_lshrrev_b32_e32 v5, 2, v3",8,32,0,0,""
5,6960,"v_add_u32_e32 v7, s3, v5",8,32,0,0,""
5,6964,"v_subrev_u32_e32 v7, s19, v7",8,64,32,0,""
5,6968,"v_mov_b32_e32 v3, 0",8,32,0,0,""
5,6972,"v_mul_lo_u32 v8, s6, v7",8,32,0,0,""
5,6980,"v_ashrrev_i32_e32 v7, 31, v6",8,32,0,0,""
5,6984,"v_lshl_add_u64 v[6:7], v[6:7], 1, v[2:3]",8,48,16,0,""
5,6992,"v_lshl_add_u64 v[6:7], s[12:13], 0, v[6:7]",8,80,48,0,""
5,7000,"v_add_u32_e32 v5, s7, v5",8,48,16,0,""
5,7004,"v_lshl_add_u64 v[132:133], v[6:7], 0, 64",8,32,0,0,""
5,7012,"v_mul_lo_u32 v6, s6, v5",8,32,0,0,""
5,7020,"v_ashrrev_i32_e32 v9, 31, v8",8,32,0,0,""
5,7024,"v_ashrrev_i32_e32 v7, 31, v6",8,32,0,0,""
5,7028,"v_ashrrev_i32_e32 v5, 31, v4",8,32,0,0,""
5,7032,"s_movk_i32 s0, 0x200",8,32,0,0,""
5,7036,"v_lshl_add_u64 v[8:9], v[8:9], 1, v[2:3]",8,96,64,0,""
5,7044,"v_lshl_add_u64 v[6:7], v[6:7], 1, v[2:3]",8,32,0,0,""
5,7052,"v_lshl_add_u64 v[4:5], v[4:5], 1, v[2:3]",8,32,0,0,""
5,7060,"s_lshr_b32 s2, s6, 5",8,32,0,0,""
5,7064,"v_cmp_gt_u32_e32 vcc, s0, v0",8,32,0,0,""
5,7068,"s_movk_i32 s0, 0x1ff",8,32,0,128,""
5,7072,"v_lshlrev_b32_e32 v144, 4, v0",8,48,16,0,""
5,7076,"v_lshl_add_u64 v[8:9], s[12:13], 0, v[8:9]",8,32,0,0,""
5,7084,"v_lshl_add_u64 v[6:7], s[10:11], 0, v[6:7]",8,32,0,0,""
5,7092,"v_lshl_add_u64 v[4:5], s[10:11], 0, v[4:5]",8,32,0,0,""
5,7100,"v_lshlrev_b32_e32 v142, 1, v141",8,32,0,0,""
5,7104,"v_cmp_lt_u32_e64 s[0:1], s0, v0",8,32,0,0,""
5,7112,"s_mov_b32 s16, 16",8,32,0,128,""
5,7116,"s_mov_b32 s17, 48",8,32,0,0,""
5,7120,"v_or_b32_e32 v145, 0x8000, v144",8,32,0,0,""
5,7128,"s_add_i32 s18, s2, -1",8,32,0,0,""
5,7132,"v_lshl_add_u64 v[130:131], v[8:9], 0, 64",8,32,0,0,""
