M,N,K,tile,tflops,median_ms,avg_ms,min_ms,std_ms,max_err,status,iters,hipblaslt_tflops,ratio_pct
128,256,2048,hk_128x128x64,3.4,0.0393,0.0400,0.0386,0.0018,0.0078,PASS,10,5.3,64.9
128,384,256,hk_128x128x64,2.0,0.0124,0.0133,0.0116,0.0018,0.0039,PASS,10,1.1,181.2
128,384,4096,hk_128x128x64,5.7,0.0704,0.0707,0.0687,0.0022,0.0156,PASS,10,15.7,36.5
128,640,512,hk_128x128x64,5.2,0.0161,0.0158,0.0148,0.0004,0.0078,PASS,10,3.9,133.9
128,640,2048,hk_128x128x64,8.3,0.0403,0.0407,0.0394,0.0019,0.0156,PASS,10,13.3,62.9
128,896,512,hk_128x128x64,7.2,0.0164,0.0163,0.0156,0.0004,0.0039,PASS,10,5.3,135.0
128,896,8192,hk_128x128x64,9.8,0.1920,0.1911,0.1878,0.0015,0.0312,PASS,10,53.7,18.2
128,1152,4096,hk_128x128x64,16.7,0.0723,0.0735,0.0708,0.0032,0.0156,PASS,10,37.9,44.0
128,1408,128,hk_128x128x64,4.9,0.0094,0.0094,0.0089,0.0002,0.0039,PASS,10,2.1,229.8
128,1408,1024,hk_128x128x64,15.3,0.0241,0.0246,0.0233,0.0016,0.0078,PASS,10,15.4,99.7
128,1408,8192,hk_128x128x64,15.3,0.1927,0.1926,0.1896,0.0025,0.0156,PASS,10,71.3,21.5
128,1536,1024,hk_128x128x64,16.4,0.0246,0.0251,0.0239,0.0013,0.0078,PASS,10,16.4,99.7
128,1664,256,hk_128x128x64,9.2,0.0118,0.0121,0.0113,0.0010,0.0039,PASS,10,5.0,184.1
128,1792,256,hk_128x128x64,9.9,0.0119,0.0125,0.0113,0.0014,0.0039,PASS,10,5.3,185.8
128,1920,128,hk_128x128x64,6.7,0.0094,0.0098,0.0084,0.0017,0.0039,PASS,10,2.8,234.9
128,1920,1024,hk_128x128x64,20.1,0.0250,0.0255,0.0238,0.0019,0.0078,PASS,10,21.0,95.8
128,2432,128,hk_128x128x64,8.2,0.0097,0.0099,0.0092,0.0009,0.0039,PASS,10,3.6,228.1
128,2816,128,hk_128x128x64,9.8,0.0094,0.0099,0.0085,0.0016,0.0039,PASS,10,4.2,234.6
128,2816,256,hk_128x128x64,15.4,0.0120,0.0126,0.0114,0.0021,0.0039,PASS,10,8.6,179.9
128,2816,1024,hk_128x128x64,29.5,0.0250,0.0249,0.0244,0.0003,0.0078,PASS,10,27.8,106.2
128,2944,2048,hk_128x128x64,35.3,0.0437,0.0437,0.0419,0.0015,0.0156,PASS,10,49.0,72.0
128,3200,128,hk_128x128x64,10.3,0.0102,0.0103,0.0092,0.0012,0.0039,PASS,10,4.7,218.9
128,3328,64,hk_128x128x64,6.6,0.0083,0.0085,0.0073,0.0008,0.0020,PASS,10,2.5,266.7
