M,N,K,tile,tflops,median_ms,avg_ms,min_ms,std_ms,max_err,status,iters,hipblaslt_tflops,ratio_pct
128,256,2048,hk_128x128x64,3.2,0.0425,0.0415,0.0386,0.0018,0.0078,PASS,10,5.2,60.2
128,384,256,hk_128x128x64,1.7,0.0147,0.0137,0.0113,0.0021,0.0039,PASS,10,1.1,151.9
128,640,2048,hk_128x128x64,8.1,0.0415,0.0427,0.0396,0.0027,0.0078,PASS,10,13.4,60.2
128,896,8192,hk_128x128x64,9.6,0.1948,0.1952,0.1920,0.0032,0.0312,PASS,10,54.1,17.8
128,1152,4096,hk_128x128x64,16.6,0.0730,0.0732,0.0705,0.0018,0.0156,PASS,10,38.1,43.4
128,1408,1024,hk_128x128x64,14.9,0.0248,0.0254,0.0237,0.0017,0.0078,PASS,10,15.6,95.6
128,1408,8192,hk_128x128x64,15.4,0.1911,0.1910,0.1890,0.0012,0.0312,PASS,10,71.2,21.7
128,1792,256,hk_128x128x64,10.0,0.0117,0.0117,0.0111,0.0004,0.0039,PASS,10,5.5,182.6
128,1920,1024,hk_128x128x64,19.8,0.0254,0.0256,0.0247,0.0013,0.0078,PASS,10,20.8,95.4
128,2944,2048,hk_128x128x64,34.5,0.0448,0.0443,0.0428,0.0010,0.0156,PASS,10,49.6,69.5
128,3200,128,hk_128x128x64,10.9,0.0096,0.0100,0.0091,0.0014,0.0039,PASS,10,4.9,223.4
128,3456,1024,hk_128x128x64,34.6,0.0262,0.0267,0.0253,0.0018,0.0078,PASS,10,34.8,99.4
128,3840,512,hk_128x128x64,29.7,0.0169,0.0167,0.0160,0.0004,0.0078,PASS,10,22.1,134.8
128,4224,64,hk_128x128x64,8.2,0.0085,0.0086,0.0073,0.0011,0.0020,PASS,10,3.2,254.0
128,4992,128,hk_128x128x64,16.7,0.0098,0.0106,0.0090,0.0022,0.0039,PASS,10,7.7,216.8
128,5120,1024,hk_128x128x64,48.6,0.0276,0.0279,0.0266,0.0013,0.0078,PASS,10,45.9,106.0
128,5376,1024,hk_128x128x64,51.3,0.0275,0.0287,0.0261,0.0023,0.0078,PASS,10,47.8,107.4
128,6144,64,hk_128x128x64,11.5,0.0087,0.0094,0.0083,0.0016,0.0020,PASS,10,4.6,249.1
128,6528,128,hk_128x128x64,21.6,0.0099,0.0106,0.0093,0.0016,0.0039,PASS,10,9.8,220.7
128,6656,4096,hk_128x128x64,83.9,0.0832,0.0830,0.0800,0.0020,0.0156,PASS,10,121.6,69.0
128,7296,64,hk_128x128x64,13.9,0.0086,0.0089,0.0075,0.0015,0.0020,PASS,10,5.5,252.1
128,7424,8192,hk_128x128x64,70.5,0.2207,0.2214,0.2197,0.0018,0.0312,PASS,10,165.1,42.7
128,7808,512,hk_128x128x64,56.8,0.0180,0.0186,0.0178,0.0012,0.0078,PASS,10,40.5,140.5
192,1536,1536,hk_192x192x64,14.4,0.0627,0.0628,0.0615,0.0010,0.0078,PASS,10,31.4,45.9
192,3456,1536,hk_192x192x64,32.9,0.0620,0.0628,0.0607,0.0022,0.0078,PASS,10,65.8,50.0
192,3648,64,hk_192x192x64,8.7,0.0103,0.0106,0.0091,0.0016,0.0020,PASS,10,3.8,227.2
192,3648,384,hk_192x192x64,27.8,0.0193,0.0198,0.0187,0.0017,0.0078,PASS,10,23.2,119.9
192,4416,192,hk_192x192x64,23.7,0.0137,0.0140,0.0127,0.0015,0.0039,PASS,10,15.2,156.7
192,4608,6144,hk_192x192x64,46.8,0.2324,0.2323,0.2290,0.0017,0.0156,PASS,10,162.3,28.8
192,4992,384,hk_192x192x64,38.7,0.0190,0.0191,0.0185,0.0003,0.0039,PASS,10,32.9,117.5
256,768,8192,hk_128x128x64,16.6,0.1944,0.1938,0.1912,0.0014,0.0156,PASS,10,72.0,23.0
256,768,8192,hk_256x256x64,8.7,0.3683,0.3699,0.3607,0.0079,0.0156,PASS,10,72.0,12.1
256,1280,64,hk_128x128x64,5.0,0.0084,0.0088,0.0072,0.0019,0.0020,PASS,10,2.0,254.1
256,1280,64,hk_256x256x64,2.9,0.0144,0.0144,0.0131,0.0010,0.0020,PASS,10,2.0,147.5
256,1408,1024,hk_128x128x64,29.8,0.0248,0.0253,0.0243,0.0014,0.0078,PASS,10,30.1,98.9
256,1536,512,hk_128x128x64,24.9,0.0162,0.0161,0.0157,0.0003,0.0078,PASS,10,18.2,136.9
256,1536,512,hk_256x256x64,13.4,0.0301,0.0304,0.0284,0.0020,0.0078,PASS,10,18.2,73.7
256,1920,128,hk_128x128x64,13.0,0.0097,0.0103,0.0089,0.0017,0.0039,PASS,10,5.9,221.1
256,1920,8192,hk_128x128x64,41.8,0.1927,0.1935,0.1902,0.0032,0.0312,PASS,10,140.5,29.7
256,2304,2048,hk_128x128x64,57.1,0.0423,0.0422,0.0413,0.0006,0.0156,PASS,10,69.4,82.3
256,2304,2048,hk_256x256x64,31.4,0.0771,0.0776,0.0761,0.0018,0.0156,PASS,10,69.4,45.2
256,2560,512,hk_128x128x64,40.6,0.0165,0.0164,0.0156,0.0004,0.0078,PASS,10,28.6,142.2
256,2560,512,hk_256x256x64,22.7,0.0296,0.0297,0.0289,0.0005,0.0078,PASS,10,28.6,79.3
256,2688,64,hk_128x128x64,10.5,0.0084,0.0089,0.0080,0.0019,0.0020,PASS,10,3.9,270.3
256,2944,64,hk_128x128x64,11.3,0.0085,0.0088,0.0077,0.0018,0.0020,PASS,10,4.2,267.6
