M,N,K,tile,tflops,max_err,status,hipblaslt_tflops,ratio_pct,best_tile,best_tflops
128,256,2048,hk_128x128x64,3.9,0.0078,PASS,3.6,110.1,,
128,384,256,hk_128x128x64,2.1,0.0039,PASS,1.0,210.3,,
128,384,4096,hk_128x128x64,7.4,0.0156,PASS,15.4,48.5,,
128,640,512,hk_128x128x64,6.4,0.0078,PASS,3.7,174.4,,
128,640,2048,hk_128x128x64,8.7,0.0156,PASS,14.5,59.9,,
128,896,512,hk_128x128x64,8.3,0.0039,PASS,5.2,158.7,,
128,896,8192,hk_128x128x64,16.0,0.0312,PASS,45.8,34.9,,
128,1152,4096,hk_128x128x64,21.9,0.0156,PASS,45.7,47.9,,
128,1408,128,hk_128x128x64,3.6,0.0039,PASS,2.0,176.8,,
128,1408,1024,hk_128x128x64,18.8,0.0078,PASS,16.5,113.5,,
128,1408,8192,hk_128x128x64,21.9,0.0156,PASS,86.6,25.3,,
128,1536,1024,hk_128x128x64,18.3,0.0078,PASS,17.4,105.7,,
128,1664,256,hk_128x128x64,9.9,0.0039,PASS,5.1,195.6,,
128,1792,256,hk_128x128x64,10.4,0.0039,PASS,5.1,204.2,,
128,1920,128,hk_128x128x64,6.0,0.0039,PASS,2.9,208.1,,
128,1920,1024,hk_128x128x64,26.4,0.0078,PASS,22.4,117.7,,
128,2432,128,hk_128x128x64,7.4,0.0039,PASS,3.7,201.8,,
128,2816,128,hk_128x128x64,8.6,0.0039,PASS,4.2,202.8,,
128,2816,256,hk_128x128x64,18.7,0.0039,PASS,8.1,229.9,,
128,2816,1024,hk_128x128x64,38.9,0.0078,PASS,31.6,123.1,,
128,2944,2048,hk_128x128x64,49.5,0.0156,PASS,60.4,82.0,,
128,3200,128,hk_128x128x64,11.8,0.0039,PASS,4.8,245.6,,
128,3328,64,hk_128x128x64,5.8,0.0020,PASS,2.5,232.0,,
128,3456,128,hk_128x128x64,12.9,0.0039,PASS,5.3,243.9,,
128,3456,1024,hk_128x128x64,47.8,0.0078,PASS,41.1,116.4,,
128,3584,64,hk_128x128x64,6.3,0.0020,PASS,2.7,234.9,,
128,3584,2048,hk_128x128x64,56.3,0.0156,PASS,69.2,81.4,,
128,3584,8192,hk_128x128x64,55.1,0.0312,PASS,144.1,38.2,,
128,3840,512,hk_128x128x64,35.7,0.0078,PASS,21.8,163.7,,
128,4096,512,hk_128x128x64,37.4,0.0078,PASS,25.0,149.9,,
128,4096,2048,hk_128x128x64,66.8,0.0078,PASS,73.1,91.4,,
128,4224,64,hk_128x128x64,7.9,0.0020,PASS,3.1,253.5,,
128,4352,64,hk_128x128x64,7.5,0.0020,PASS,3.3,227.3,,
128,4352,128,hk_128x128x64,16.2,0.0039,PASS,6.5,250.5,,
128,4352,512,hk_128x128x64,40.5,0.0078,PASS,26.7,151.6,,
128,4480,2048,hk_128x128x64,75.8,0.0156,PASS,81.4,93.1,,
128,4864,512,hk_128x128x64,49.5,0.0078,PASS,29.3,168.8,,
128,4864,8192,hk_128x128x64,74.7,0.0312,PASS,182.6,40.9,,
128,4992,64,hk_128x128x64,9.6,0.0020,PASS,3.6,265.7,,
128,4992,128,hk_128x128x64,18.2,0.0039,PASS,7.7,236.9,,
128,4992,512,hk_128x128x64,49.8,0.0078,PASS,28.6,173.8,,
128,4992,2048,hk_128x128x64,79.3,0.0156,PASS,89.1,89.0,,
128,5120,256,hk_128x128x64,26.6,0.0039,PASS,15.1,175.8,,
128,5120,1024,hk_128x128x64,70.9,0.0078,PASS,54.6,129.9,,
