M,N,K,tile,tflops,max_err,status,hipblaslt_tflops,ratio_pct
128,1024,1024,hk_128x128x64,12.0,0.0078,PASS,9.1,131.3
128,1024,2048,hk_128x128x64,16.9,0.0156,PASS,21.1,80.1
128,1024,4096,hk_128x128x64,19.3,0.0156,PASS,36.5,52.7
128,1024,8192,hk_128x128x64,17.1,0.0156,PASS,61.4,27.9
128,2048,1024,hk_128x128x64,26.7,0.0078,PASS,22.4,119.0
128,2048,2048,hk_128x128x64,32.8,0.0156,PASS,40.7,80.7
128,2048,4096,hk_128x128x64,39.2,0.0156,PASS,66.8,58.6
128,2048,8192,hk_128x128x64,31.1,0.0156,PASS,111.0,28.0
128,4096,1024,hk_128x128x64,50.9,0.0078,PASS,44.9,113.3
128,4096,2048,hk_128x128x64,67.4,0.0156,PASS,71.4,94.4
128,4096,4096,hk_128x128x64,68.8,0.0156,PASS,116.6,59.0
128,4096,8192,hk_128x128x64,63.0,0.0312,PASS,155.0,40.7
128,8192,1024,hk_128x128x64,112.3,0.0078,PASS,77.8,144.3
128,8192,2048,hk_128x128x64,120.0,0.0156,PASS,120.1,99.9
128,8192,4096,hk_128x128x64,138.9,0.0156,PASS,159.8,86.9
128,8192,8192,hk_128x128x64,118.4,0.0312,PASS,209.5,56.5
256,256,256,hk_128x128x64,3.4,0.0039,PASS,1.5,227.2
256,256,256,hk_256x256x64,1.9,0.0039,PASS,1.5,125.2
256,256,512,hk_128x128x64,5.4,0.0039,PASS,3.0,180.3
256,256,512,hk_256x256x64,2.5,0.0039,PASS,3.0,83.6
256,256,1024,hk_128x128x64,7.4,0.0078,PASS,5.8,126.0
256,256,1024,hk_256x256x64,3.2,0.0078,PASS,5.8,55.0
256,256,2048,hk_128x128x64,8.8,0.0078,PASS,11.3,78.1
256,256,2048,hk_256x256x64,3.7,0.0078,PASS,11.3,32.4
256,256,4096,hk_128x128x64,9.9,0.0156,PASS,22.1,44.6
256,256,4096,hk_256x256x64,3.9,0.0156,PASS,22.1,17.7
256,512,256,hk_128x128x64,6.7,0.0039,PASS,2.9,227.4
256,512,256,hk_256x256x64,3.5,0.0039,PASS,2.9,120.4
256,512,512,hk_128x128x64,9.8,0.0039,PASS,5.7,170.3
256,512,512,hk_256x256x64,5.1,0.0039,PASS,5.7,89.7
256,512,1024,hk_128x128x64,13.8,0.0078,PASS,11.2,123.6
256,512,1024,hk_256x256x64,6.2,0.0078,PASS,11.2,55.3
256,512,2048,hk_128x128x64,17.5,0.0078,PASS,22.7,77.1
256,512,2048,hk_256x256x64,7.3,0.0078,PASS,22.7,32.1
256,512,4096,hk_128x128x64,19.9,0.0156,PASS,38.9,51.1
256,512,4096,hk_256x256x64,7.8,0.0156,PASS,38.9,20.1
256,1024,256,hk_128x128x64,10.8,0.0039,PASS,5.9,183.6
256,1024,256,hk_256x256x64,6.9,0.0039,PASS,5.9,118.0
256,1024,512,hk_128x128x64,20.2,0.0078,PASS,11.5,175.2
256,1024,512,hk_256x256x64,10.0,0.0078,PASS,11.5,86.9
256,1024,1024,hk_128x128x64,28.8,0.0078,PASS,22.7,126.6
256,1024,1024,hk_256x256x64,12.6,0.0078,PASS,22.7,55.6
256,1024,2048,hk_128x128x64,34.7,0.0156,PASS,41.2,84.3
256,1024,2048,hk_256x256x64,14.5,0.0156,PASS,41.2,35.1
256,1024,4096,hk_128x128x64,39.5,0.0156,PASS,68.8,57.4
256,1024,4096,hk_256x256x64,15.5,0.0156,PASS,68.8,22.6
256,1024,8192,hk_128x128x64,31.4,0.0312,PASS,109.4,28.7
256,1024,8192,hk_256x256x64,15.1,0.0312,PASS,109.4,13.8
256,2048,256,hk_128x128x64,26.0,0.0039,PASS,11.8,220.4
256,2048,256,hk_256x256x64,13.2,0.0039,PASS,11.8,111.8
256,2048,512,hk_128x128x64,38.6,0.0078,PASS,23.6,163.7
256,2048,512,hk_256x256x64,19.8,0.0078,PASS,23.6,84.0
256,2048,1024,hk_128x128x64,56.2,0.0078,PASS,44.8,125.3
256,2048,1024,hk_256x256x64,25.0,0.0078,PASS,44.8,55.7
256,2048,2048,hk_128x128x64,68.9,0.0156,PASS,69.3,99.5
256,2048,2048,hk_256x256x64,28.8,0.0156,PASS,69.3,41.5
256,2048,4096,hk_128x128x64,70.7,0.0156,PASS,107.1,66.0
256,2048,4096,hk_256x256x64,30.7,0.0156,PASS,107.1,28.7
256,2048,8192,hk_128x128x64,62.9,0.0312,PASS,161.7,38.9
256,2048,8192,hk_256x256x64,30.1,0.0312,PASS,161.7,18.6
256,4096,256,hk_128x128x64,49.3,0.0039,PASS,23.2,212.6
256,4096,256,hk_256x256x64,28.0,0.0039,PASS,23.2,120.6
256,4096,512,hk_128x128x64,78.8,0.0078,PASS,46.7,168.5
256,4096,512,hk_256x256x64,39.5,0.0078,PASS,46.7,84.5
