N,tile,tflops,max_err,status,hipblaslt_tflops,ratio_pct
128,hk_128x128x64,0.3,0.0020,PASS,0.1,246.7
192,hk_192x192x64,1.0,0.0039,PASS,0.6,182.4
256,hk_128x128x64,3.3,0.0039,PASS,1.4,233.4
256,hk_256x256x64,1.7,0.0039,PASS,1.4,117.8
384,hk_128x128x64,9.2,0.0039,PASS,3.8,239.5
384,hk_192x192x64,6.7,0.0039,PASS,3.8,175.3
512,hk_128x128x64,19.9,0.0039,PASS,10.6,188.1
512,hk_256x256x64,9.8,0.0039,PASS,10.6,92.6
576,hk_192x192x64,18.2,0.0078,PASS,15.5,117.9
640,hk_128x128x64,35.4,0.0078,PASS,21.9,161.7
768,hk_128x128x64,54.2,0.0078,PASS,38.4,141.2
768,hk_192x192x64,39.1,0.0078,PASS,38.4,101.8
768,hk_256x256x64,25.3,0.0078,PASS,38.4,66.0
896,hk_128x128x64,73.1,0.0078,PASS,56.6,129.3
960,hk_192x192x64,64.9,0.0078,PASS,67.0,96.8
1024,hk_128x128x64,106.7,0.0078,PASS,70.2,152.1
1024,hk_256x256x64,49.2,0.0078,PASS,70.2,70.1
1152,hk_128x128x64,136.3,0.0078,PASS,101.5,134.3
1152,hk_192x192x64,99.5,0.0078,PASS,101.5,98.0
1280,hk_128x128x64,170.4,0.0078,PASS,129.6,131.5
1280,hk_256x256x64,80.1,0.0078,PASS,129.6,61.8
1344,hk_192x192x64,137.5,0.0078,PASS,146.1,94.1
1408,hk_128x128x64,187.7,0.0078,PASS,161.9,115.9
1536,hk_128x128x64,193.6,0.0078,PASS,182.5,106.1
1536,hk_192x192x64,178.1,0.0078,PASS,182.5,97.6
1536,hk_256x256x64,111.2,0.0078,PASS,182.5,60.9
1664,hk_128x128x64,239.7,0.0156,PASS,197.2,121.5
1728,hk_192x192x64,230.8,0.0156,PASS,192.4,119.9
1792,hk_128x128x64,252.3,0.0156,PASS,218.1,115.7
1792,hk_256x256x64,156.6,0.0156,PASS,218.1,71.8
1920,hk_128x128x64,281.8,0.0156,PASS,253.9,111.0
1920,hk_192x192x64,276.9,0.0156,PASS,253.9,109.0
2048,hk_128x128x64,318.1,0.0156,PASS,272.1,116.9
2048,hk_256x256x64,193.4,0.0156,PASS,272.1,71.1
2112,hk_192x192x64,314.2,0.0156,PASS,274.6,114.4
2176,hk_128x128x64,346.7,0.0156,PASS,304.9,113.7
2304,hk_128x128x64,222.5,0.0156,PASS,309.2,72.0
2304,hk_192x192x64,317.8,0.0156,PASS,309.2,102.8
2304,hk_256x256x64,253.8,0.0156,PASS,309.2,82.1
2432,hk_128x128x64,268.9,0.0156,PASS,330.3,81.4
2496,hk_192x192x64,375.8,0.0156,PASS,328.8,114.3
2560,hk_128x128x64,273.6,0.0156,PASS,349.6,78.3
2560,hk_256x256x64,296.4,0.0156,PASS,349.6,84.8
2688,hk_128x128x64,333.6,0.0156,PASS,369.8,90.2
2688,hk_192x192x64,436.7,0.0156,PASS,369.8,118.1
2816,hk_128x128x64,324.2,0.0156,PASS,417.7,77.6
2816,hk_256x256x64,324.3,0.0156,PASS,417.7,77.6
2880,hk_192x192x64,446.7,0.0156,PASS,352.6,126.7
2944,hk_128x128x64,395.1,0.0156,PASS,415.7,95.0
3072,hk_128x128x64,354.6,0.0156,PASS,504.7,70.2
3072,hk_192x192x64,477.3,0.0156,PASS,504.7,94.6
3072,hk_256x256x64,387.4,0.0156,PASS,504.7,76.7
3200,hk_128x128x64,311.6,0.0156,PASS,429.7,72.5
3264,hk_192x192x64,528.5,0.0156,PASS,435.6,121.3
3328,hk_128x128x64,291.1,0.0156,PASS,506.6,57.5
3328,hk_256x256x64,455.6,0.0156,PASS,506.6,89.9
3456,hk_128x128x64,375.8,0.0156,PASS,481.2,78.1
3456,hk_192x192x64,363.0,0.0156,PASS,481.2,75.4
3584,hk_128x128x64,358.5,0.0156,PASS,41.6,862.4
3584,hk_256x256x64,437.6,0.0156,PASS,41.6,1052.7
3648,hk_192x192x64,393.9,0.0156,PASS,477.4,82.5
3712,hk_128x128x64,398.8,0.0156,PASS,500.0,79.8
3840,hk_128x128x64,383.6,0.0156,PASS,592.4,64.8
3840,hk_192x192x64,417.0,0.0156,PASS,592.4,70.4
3840,hk_256x256x64,542.0,0.0156,PASS,592.4,91.5
3968,hk_128x128x64,376.2,0.0156,PASS,487.5,77.2
4032,hk_192x192x64,471.9,0.0156,PASS,519.5,90.8
4096,hk_128x128x64,367.8,0.0156,PASS,564.5,65.1
4096,hk_256x256x64,619.4,0.0156,PASS,564.5,109.7
4224,hk_128x128x64,386.3,0.0156,PASS,512.9,75.3
4224,hk_192x192x64,523.6,0.0156,PASS,512.9,102.1
4352,hk_128x128x64,369.0,0.0156,PASS,595.4,62.0
4352,hk_256x256x64,662.2,0.0156,PASS,595.4,111.2
4416,hk_192x192x64,564.4,0.0156,PASS,510.1,110.6
4608,hk_128x128x64,335.0,0.0156,PASS,620.8,54.0
4608,hk_192x192x64,551.5,0.0156,PASS,620.8,88.8
4608,hk_256x256x64,389.8,0.0156,PASS,620.8,62.8
4800,hk_192x192x64,468.2,0.0156,PASS,572.5,81.8
4864,hk_128x128x64,367.9,0.0312,PASS,640.5,57.4
4864,hk_256x256x64,431.9,0.0312,PASS,640.5,67.4
4992,hk_128x128x64,403.6,0.0156,PASS,542.6,74.4
4992,hk_192x192x64,504.0,0.0156,PASS,542.6,92.9
5120,hk_128x128x64,361.7,0.0156,PASS,610.9,59.2
5120,hk_256x256x64,481.6,0.0156,PASS,610.9,78.8
5184,hk_192x192x64,515.0,0.0156,PASS,526.3,97.9
5376,hk_128x128x64,377.1,0.0156,PASS,600.1,62.8
5376,hk_192x192x64,506.5,0.0156,PASS,600.1,84.4
5376,hk_256x256x64,526.4,0.0156,PASS,600.1,87.7
5568,hk_192x192x64,548.8,0.0312,PASS,545.0,100.7
5632,hk_128x128x64,356.0,0.0312,PASS,581.3,61.2
5632,hk_256x256x64,548.1,0.0312,PASS,581.3,94.3
5760,hk_128x128x64,419.0,0.0312,PASS,543.2,77.1
5760,hk_192x192x64,561.1,0.0312,PASS,543.2,103.3
5888,hk_128x128x64,380.1,0.0312,PASS,563.6,67.4
5888,hk_256x256x64,582.2,0.0312,PASS,563.6,103.3
5952,hk_192x192x64,528.4,0.0312,PASS,550.2,96.0
6144,hk_128x128x64,364.4,0.0312,PASS,602.5,60.5
6144,hk_192x192x64,514.2,0.0312,PASS,602.5,85.3
6144,hk_256x256x64,569.2,0.0312,PASS,602.5,94.5
6336,hk_192x192x64,539.3,0.0312,PASS,555.9,97.0
6400,hk_128x128x64,357.2,0.0312,PASS,566.1,63.1
6400,hk_256x256x64,513.0,0.0312,PASS,566.1,90.6
6528,hk_128x128x64,423.5,0.0312,PASS,554.1,76.4
6528,hk_192x192x64,545.0,0.0312,PASS,554.1,98.4
6656,hk_128x128x64,400.2,0.0312,PASS,565.5,70.8
6656,hk_256x256x64,552.8,0.0312,PASS,565.5,97.8
6720,hk_192x192x64,508.2,0.0312,PASS,544.8,93.3
6912,hk_128x128x64,371.8,0.0312,PASS,573.9,64.8
6912,hk_192x192x64,516.0,0.0312,PASS,573.9,89.9
6912,hk_256x256x64,549.5,0.0312,PASS,573.9,95.7
7104,hk_192x192x64,508.4,0.0312,PASS,570.6,89.1
7168,hk_128x128x64,371.5,0.0312,PASS,564.8,65.8
7168,hk_256x256x64,541.3,0.0312,PASS,564.8,95.8
7296,hk_128x128x64,411.8,0.0312,PASS,565.0,72.9
7296,hk_192x192x64,542.4,0.0312,PASS,565.0,96.0
7424,hk_128x128x64,358.4,0.0312,PASS,590.9,60.6
